"HostName";"TaskName";"Next Run Time";"Status";"Logon Mode";"Last Run Time";"Last Result";"Author";"Task To Run";"Start In";"Comment";"Scheduled Task State";"Idle Time";"Power Management";"Run As User";"Delete Task If Not Rescheduled";"Stop Task If Runs X Hours and X Mins";"Schedule";"Schedule Type";"Start Time";"Start Date";"End Date";"Days";"Months";"Repeat: Every";"Repeat: Until: Time";"Repeat: Until: Duration";"Repeat: Stop If Still Running"
"VCS007";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS007";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS008";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS008";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS009";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS009";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS010";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS010";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS011";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS011";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS012";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS012";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS013";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS013";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS014";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS014";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS015";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS015";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS016";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS016";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS017";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS017";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS018";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS018";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS019";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS019";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS020";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS020";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS021";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS021";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS022";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS022";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS023";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS023";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS024";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS024";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS025";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS025";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS026";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS026";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS027";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS027";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS028";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS028";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS029";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS029";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS030";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS030";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS031";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS031";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VCS032";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"1-1-2001";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VCS032";"\Memory Optimization Schedule";"N/A";"Unknown";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Program Files\Citrix\Server Resource Management\Memory Optimization Management\Program\CtxBace.exe -optimize";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"VS002";"\VNB-Cleanup files";"30-4-2014 06:00:00";"Ready";"Interactive/Background";"29-4-2014 06:00:00";"0";"SYSTEM";"C:\Scripts\Acties\cleanup.cmd ";"C:\Scripts\Acties";"NC Standaard cleanup script.";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"04:00:00";"Scheduling data is not available in this format.";"Daily ";"06:00:00";"27-1-2010";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\VNB-NTFSv3 info dump";"5-5-2014 05:00:00";"Ready";"Interactive/Background";"N/A";"1";"SYSTEM";"C:\Scripts\Secdump\DumpNTFS3\DumpNTFS3.cmd ";"C:\Scripts\Secdump\DumpNTFS3";"NC Standard Dump NTFS information to Secdump database";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"08:00:00";"Scheduling data is not available in this format.";"Monthly";"05:00:00";"27-1-2010";"N/A";"First MON";"Every month";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\VNB-System configuration check";"29-4-2014 21:00:00";"Ready";"Interactive/Background";"28-4-2014 21:00:00";"0";"SYSTEM";"C:\Scripts\Acties\ncstd-config.cmd ";"C:\Scripts\Acties\";"NedCar Server Standaard Configuration";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Daily ";"21:00:00";"19-5-2010";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\VNB-System configuration info";"29-4-2014 23:00:00";"Ready";"Interactive/Background";"28-4-2014 23:00:00";"0";"SYSTEM";"C:\Scripts\Secdump\SysInfo\SysInfo.cmd ";"C:\Scripts\Secdump\SysInfo";"NC Standard System info logging";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"Daily ";"23:00:00";"27-1-2010";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\VNB-Weekly reboot task";"3-5-2014 00:45:00";"Ready";"Interactive/Background";"26-4-2014 00:45:00";"0";"NEDCAR\adm1";"C:\Scripts\Acties\shutdown.cmd ";"N/A";"VDL Nedcar weekly planned reboot scheduled task";"Enabled";"Disabled";"";"NEDCAR\Scheduler";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Weekly";"00:45:00";"30-10-2013";"N/A";"SAT";"Every 1 week(s)";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\Microsoft\Configuration Manager\Configuration Manager Health Evaluation";"30-4-2014 00:50:11";"Ready";"Interactive/Background";"29-4-2014 00:50:11";"0";"Microsoft";"C:\Windows\CCM\ccmeval.exe ";"N/A";"N/A";"Enabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"Daily ";"00:50:11";"25-4-2014";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.";"Disabled";"Disabled";"";"Everyone";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"9-11-2006";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"VS002";"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.";"Disabled";"Disabled";"";"Everyone";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
